Word	Definition
chair	n. 椅子
challenge	n.挑战（性）
chance	n. 机会；可能性
change	n. 零钱；找头；v. 改变；变化；更换；兑换
character	n. 性格；品质；特性；v. 印；刻；使具有特征
cheap	adj. 便宜的；贱
check	n. 检查；批改；v. 校对；核对；检查；批改
chicken	n. 鸡；鸡肉
child	n. 孩子；儿童
choice	n. 选择；选择权；精选品；adj. 精选的；仔细推敲的
city	n. 市；城市；都市
classmate	n. 同班同学
clean	v. 弄干净；擦干净；adj. 清洁的；干净的
clear	adj. 清晰；明亮的；清楚的
climate	n. 气候
clothes	n. 衣服；各种衣物
coat	n. 外套；涂层；表皮；皮毛
coffee	n. 咖啡
collect	v. 收集；搜集
college	n. 学院；专科学校
comfortable	adj. 舒服的；安逸的；舒服自在的
common	adj. 普通；一般；共有的
communicate	v. 交流；沟通
communication	n. 交流；沟通
community	n. 社区；群落；共同体
compare	v. 相比；匹敌；比较；n. 比较
competition	n. 比赛；竞赛
complete	adj. 完整的；完全的；彻底的；v. 完成
computer	n. 电子计算机
condition	n. 条件；情况；环境；v. 决定；使适应；使健康
connect	v. 连接；把......联系起来
consider	v. 考虑；认为；细想
control	n. 控制；管理；抑制；v. 控制；管理；抑制
conversation	n. 谈话；交谈
copy	n. 抄本；副本；一本（份；册......）；v. 抄写；复印；拷贝
correct	v. 改正；纠正；adj. 正确的；对的；恰当的
country	n. 国家；农村；乡下
course	n. 过程；经过；课程
cousin	n. 堂（表）兄弟；堂（表）姐妹
create	v. 创造；创作；造成
cry	n. 叫喊；哭声；v. 喊叫；哭
culture	n. 文化
cup	n. 茶杯
cut	v. 切；剪；削；割
daily	adj. 每日的；日常的；adv. 每天；n. 日报
dance	n./v. 跳舞
danger	n. 危险；危险物；威胁
dangerous	adj. 危险的
daughter	n. 女儿
decision	n. 决定
deep	adj. 深；adv. 深；深厚
develop	v.（使）发展；开发；v. 冲洗（照片）
development	n. 发展；开发；发育
dictionary	n. 词典；字典
difference	n. 不同
difficulty	n. 困难；费力
dinner	n. 正餐；宴会
direct	adj. 直接的；直截了当的；v. 指挥；指导；导演（电影）
dirty	adj. 脏的
discover	v. 发现
discussion	n. 讨论
disease	n. 病；疾病
doctor	n. 医生；大夫；博士
door	n. 门
dream	n./v. 梦；梦想
dress	n. 女服；连衣裙；（统指）服装；童装；v. 穿衣
drive	n. 驱动器；驾车；内驱力；v. 开车；猛击；飞跑
during	prep. 在......期间；在......过程中
earth	n. 地球；土；泥；大地
easily	adv. 容易地；无疑地
education	n. 教育；培养
effort	n. 努力；成就
egg	n. 蛋；卵
either	adj. 两方任一方的；二者之一；conj. 二者之一；要么；adv. 也
empty	adj. 空的
encourage	v. 鼓励
energy	n. 能量；精力；活力
enjoy	v. 欣赏；享受乐趣；喜欢
enter	v. 进入
especially	adv. 特别；尤其
evening	n. 傍晚；晚上
event	n. 事件；大事
ever	adv. 曾经；无论何时
example	n. 例子；榜样
excellent	adj. 极好的；优秀的
excuse	n. 借口；辩解；v. 原谅；宽恕
expect	v. 预料；盼望；认为
experiment	n. 实验
explain	v. 解释；说明
eye	n. 眼睛
face	n. 脸；v. 面向；面对
fact	n. 事实；现实
fail	v. 失败；不及格；衰退
fair	n. 展览会；市集；美人；adj. 公平的；美丽的；白皙的；v. 转晴
famous	adj. 著名的
farm	n. 农场；农庄
father	n. 父亲
favorite	n. 幸运儿；喜欢的事物；特别喜欢的人；adj. 最喜爱的；中意的；宠爱的
feeling	n. 感情；感觉
festival	n. 节日
field	n. 田地；牧场；场地
fill	v. 填空；装满
film	n. 电影；影片；胶卷
final	adj. 最后的；终极的
finally	adv. 最后；终于；决定性地
finger	n. 手指
fish	n. 鱼；鱼肉；v. 钓鱼；捕鱼
fix	v. 修理；安装；确定；决定
floor	n. 地面；地板.（楼房的）层
follow	v. 跟随；仿效；跟得上
foreign	adj. 外国的
forest	n. 森林
fresh	adj. 新鲜的
fruit	n. 水果；果实
full	adj. 满的；充满的；完全的
fun	n. 有趣的事；娱乐；玩笑
game	n. 游戏；运动；比赛
garden	n. 花园；果园；菜园
general	adj. 大体；笼统的；总的
geography	n. 地理学
girl	n. 女孩
glad	adj. 高兴的；乐意的
goal	n.（足球）球门；目标
grade	n. 等级（中小学的）；学年；成绩；分数
grammar	n. 语法
grass	n. 草；草场；牧草
great	adj. 伟大的；重要的；好极了；adv.（口语）好极了；很好
green	adj. 绿色的；青的；n. 绿色
group	n. 组；群
grow	v. 生长；发育；种植；变成
guest	n. 客人；宾客
habit	n. 习惯；习性
hair	n. 头发
hand	n. 手；指针；v. 递；给；交付；交上
happen	v.（偶然）发生；碰巧
head	n. 头；头脑；首脑；标题；adj. 头部的；主要的；v. 率领；驶向
heart	n. 心；心脏；纸牌中的红桃
heavy	adj. 重的
here	adv. 这里；在这里；向这里
hers	pron. 她的
history	n. 历史；历史学
holiday	n. 假日；假期
homework	n. 家庭作业
honest	adj. 诚实的；正直的
hospital	n. 医院
hotel	n. 旅馆；饭店；宾馆
hour	n. 小时
house	n. 房子；住宅
human	adj. 人的；人类的
husband	n. 丈夫
ill	adj. 有病的；不健康的
illness	n. 疾病
importance	n. 价值；重要；重大
improve	v. 改进；更新
include	v. 包含；包括
inside	prep. 在......里面；adv. 在里面
instruction	n. 说明；须知；教导
international	adj. 国际的
internet	n. 互联网
introduce	v. 介绍
invite	v. 邀请；招待
job	n. （一份）工作
join	v. 参加；加入；连接；会合
journey	n. 旅行；路程
just	adv. 刚才；恰好；不过；仅；adj. 公正的
key	n. 钥匙；答案；键；关键
kill	v. 杀死；弄死
kitchen	n. 厨房
knife	n. 小刀；匕首；刀片
knowledge	n. 知识；学问
lake	n. 湖
land	n. 陆地；土地；v. 登岸（陆）降落
large	adj. 大的；巨大的
later	adj. 晚些的；迟些的
laugh	n./v. 笑；大笑；嘲笑
leg	n. 腿；腿脚；支柱
lend	v. 借（出）；把......借给
letter	n. 信；字母
library	n. 图书馆；图书室
light	n. 光；光亮；灯；灯光；v. 点（火）；点燃；adj. 明亮的；轻的；浅色的
line	n. 绳索；线；排；行；线路；v. 画线于；（使）成行
local	n. 局部；当地居民；本地新闻；adj. 当地的；局部的；地方性的
lose	v. 失去；丢失
lunch	n. 午餐；午饭
machine	n. 机器
magazine	n. 杂志
main	adj. 主要的
man	n. 成年男人；人类
manage	v. 管理；设法对付
map	n. 地图
mark	n. 标记；v. 标明；作记号于
market	n. 市场；集市
matter	n. 要紧事；要紧； 事情；问题；v. 要紧；有重大关系
meaning	n. 意思；含意
meat	n.（猪、牛、羊等的）肉
medicine	n. 药；医学；内科；v. 用药物治疗；给...用药
member	n. 成员；会员
milk	n. 牛奶；v. 挤奶
mine	n. 矿藏；矿山；v. 开采（矿物）；pron. 我的
minute	n. 分钟；一会儿；瞬间
miss	v. 想念；错过；未击中
mistake	n. 错误；v. 弄错
modern	adj. 现代的
moment	n. 片刻；瞬间
month	n. 月；月份
morning	n. 早晨；上午
mother	n. 母亲
mountain	n. 山；山脉
mouth	n. 嘴；口
movie	n.（口语）电影
music	n. 音乐；乐曲
name	n. 名字；姓名；名称；v. 命名；名叫
national	adj. 国家的；全国性的；民族的
natural	adj. 自然的
nature	n. 自然； 性质；种类
neighbor	n. 邻居；邻人
neither	adj.（两者）都不；也不
never	adv. 决不；从来没有
news	n. 新闻；消息
newspaper	n. 报纸
night	n. 夜；夜间
nobody	n. 渺小人物；pron. 没有人；谁也不
noisy	adj. 喧闹的；嘈杂的
normal	n./adj. 正常的（状态）
north	n. 北方；adj. 北方的；adv. 向北
note	n. 便条；笔记；注释；钞票；音调
notice	n. 布告；通告；注意；v. 注意；注意到
nurse	n. 护士；保姆；保育员
ocean	n. 海洋
offer	n./v. 提供；建议
office	n. 办公室
often	adv. 经常；常常
once	n./adv. 一次；一度；从前；conj. 一旦
online	adj. 在线的；adv. 在线
order	v. 定购；定货；点菜n. 顺序
ours	pron. 我们的
outside	n. 外面；adv. 在外面；向外面；prep. 在......外面
own	adj. 自己的；v. 拥有；所有
paragraph	n. 段落；短评；段落符号；v. 将...分段
parent	n. 父（母）；双亲
park	n. 公园；v. 停放（汽车）
party	n. 聚会；晚会；党派
pass	v. 传；递；经过；通过
passage	n.（文章等的）一节；一段；通道；走廊
patient	n. 病人
pen	n. 钢笔；笔
pencil	n. 铅笔
perform	v. 执行；完成；演奏
perhaps	adv. 可能；或
personal	adj. 个人的；私人的
phone	v. 打电话；n. 电话；电话机
photo	n. 照片
picture	n. 图片；画片；照片
plane	n. 飞机
plastic	n. 塑料；adj. 塑料的
pleasant	adj. 令人愉快的；舒适的
police	n. 警察；警务人员
polite	adj. 有礼貌的；有教养的
pollution	n. 污染
poor	adj. 贫穷；可怜；不好的；差的
popular	adj. 流行；大众；受欢迎的
prepare	v. 准备；预备；调制；配制
present	adj. 出现的；出席的；n. 礼物；赠品；v. 呈奉；奉送
prevent	v. 防止； 预防
price	n. 价格；价钱
probably	adv. 很可能；大概
produce	v. 生产；制造
progress	n. 进步；上进；v. 进展；进行
project	n. 项目；课题
promise	n./v. 答应；允诺
protect	v. 保护
proud	adj. 自豪的；骄傲的
provide	v. 提供
public	adj. 公共；公众的；n. 公众
pull	v. 拉；拖；n. 拉力
quickly	adv. 迅速地；很快地
quiet	adj. 安静的；寂静的
quite	adv. 完全；十分
radio	n. 无线电；收音机
ready	adj. 准备好的
real	adj. 真实的；确实的
realize	v. 认识到；实现
really	adv. 实际上；事实上；真正地
recent	adj. 近来的；最近的
recycle	v. 回收利用
refuse	v. 拒绝；不愿
relationship	n. 关系
repeat	v. 重说；重做
report	n./v. 报道；报告
research	n. 研究；调查
resource	n. 资源
restaurant	n. 饭馆； 饭店
rice	n. 稻米；米饭
rich	adj. 富裕的；有钱的
ride	v. 骑（马、自行车）；乘车；n. 乘车旅行
river	n. 江；河；水道；巨流
road	n. 路；道路
room	n. 房间；室；空间；地方
rude	adj. 无理的； 粗鲁的
safe	adj. 安全的；n. 保险柜
safety	n. 安全；保险
salt	n. 盐
save	v. 救；挽救；节省
science	n. 科学；自然科学
score	n./v. 得分；分数；二十
screen	n. 幕；荧光屏
sea	n. 海；海洋
search	n./v. 搜寻；搜查
season	n. 季；季节
seat	n. 座位；座
sentence	n. 句子
serious	adj. 严肃的；严重的；认真的
service	n. 服务；服侍；服役；adj. 服务性的；耐用的；服现役的；v. 维修；检修；保养
several	pron. 几个；数个；adj. 若干
share	v. 分享；共同使用
ship	n. 船；轮船；v. 用船装运
shirt	n. 男衬衫
shoe	n. 鞋
shop	v. 买东西；n. 商店；车间
shoulder	n. 肩；肩膀；肩部；v. 用肩推挤；用肩顶；肩负
show	v. 给......看；出示；显示；n. 展示；演出
simple	adj. 简单的；简易的
sing	v. 唱；唱歌
single	adj. 单一的；单个的
sister	n. 姐；妹
sleep	v. 睡觉
slowly	adv. 缓慢地
smile	n./v. 微笑
social	n. 联谊会；联欢会；adj. 社会的；社交的；群居的
society	n. 社会
solve	v. 解决；解答；溶解
someone	pron. 某一个人
sometimes	adv. 有时
son	n. 儿子
soon	adv. 不久；很快；一会儿
sound	v. 听起来；发出声音；n. 声音
south	adj. 南（方）的；adv. 在南方；向南方；n. 南；南方；南部
special	adj. 特别的；专门的
sport	n. 体育运动；锻炼；（复；英）运动会
station	n. 站；所；车站；电台
still	adj. 不动的；平静的；adv. 仍然；还
stomach	n. 胃；胃部
store	n. 商店；v. 储藏；存储
strange	adj. 奇怪；奇特的；陌生的
street	n. 街；街道
strict	adj. 严格的；严密的
success	n. 成功
successful	adj. 成功的；有成就的
suddenly	adv. 突然地；忽然
suggest	v. 建议；提议
suggestion	n. 建议
support	n. 支持；维持；支援；v. 支持；支撑；支援
surprise	v. 使惊奇；使诧异；n. 惊奇；诧异
table	n. 桌子；表格
team	n. 队；组
technology	n. 技术；科技
television	n. 电视
terrible	adj. 可怕的；糟糕的
theater	n. 剧场；戏院
theirs	pron. 他（她；它）们的
there	interj. 那!你瞧!；n. 那里；那儿；adv. 在那里；往那里
thick	adj. 厚的
thin	adj. 薄的；瘦的；稀的
throw	v. 投；掷；扔
ticket	n. 票；卷
together	adv. 一起；共同
too	adv. 也；还；又；太；非常
tooth	n. 牙齿
top	n. 顶部；（物体的）上面
touch	v. 触摸；接触
town	n. 城镇；城
tradition	n. 传统；风俗
traditional	adj. 传统的；风俗的；惯例的
train	n. 火车；v. 培训；训练
travel	n./v. 旅行
tree	n. 树
trip	n. 旅行；旅程
trouble	v. 使苦恼；使忧虑；使麻烦；n. 问题；疾病；烦恼；麻烦
trust	n. 信任；信赖；责任；v. 信任；信赖；盼望
twice	adv. 两次；两倍
uncle	n. 叔；伯；舅；姑夫；姨父
university	n. 大学
useful	adj. 有用的；有益的
usual	adj. 通常的；平常的
usually	adv. 通常；经常
vacation	n. 假期；（房屋）搬出；v. 休假；度假
vegetable	n. 蔬菜
very	adv. 很；非常
video	n. 录像；视频
village	n. 村庄；乡村
voice	n. 说话声； 语态
volunteer	n. 志愿者；v. 自愿做
wake	v. 醒来；叫醒
wash	n. 洗涤；洗的衣服；化妆水；v. 洗涤；洗刷；冲走
wear	v. 穿；戴
weather	n. 天气
website	n. 网站
week	n. 星期；周
whether	conj. 是否
whole	adj. 整个的
wide	adj. 宽阔的
wife	n. 妻子
win	n. 获胜；赢得
window	n. 窗户；计算机的窗
winter	n. 冬天；冬季
woman	n. 妇女；女人
wonderful	adj. 美妙的；精彩的；了不起的；太好了
world	n. 世界
worry	n./v. 烦恼；担忧；发怒；困扰
yet	adv. 尚；还；仍然
yours	pron. 你的；你们的
zoo	n. 动物园
