word	definition
awake	v. 唤醒；adj. 醒着的
away	adv. 离开；远离
baby	n. 婴儿
back	adv. 回（原处）；向后；adj. 后面的；n. 背后；后部；背
background	n. 背景；隐蔽的位置；adj. 背景的；发布背景材料的；v. 作...的背景
bad	adj. 坏的；有害的；不利的；严重的
bag	n. 袋；猎获物；（俚）一瓶啤酒；v. 猎获；把...装入袋中；占据
ball	n. 球；n. 舞会
balloon	n. 气球
bamboo	n. 竹子
banana	n. 香蕉
bank	n.（河海湖的）岸；堤； 银行
baseball	n. 棒球
basic	n. 基础；要素；adj. 基本的；基础的
basket	n. 篮子
basketball	n. 篮球
bathroom	n. 浴室；厕所；盥洗室
be	v. 是；成为；存在
beach	n. 海滨；海滩
beat	v. 敲打；跳动；打赢；n.（音乐）节拍
beautiful	adj. 美；美丽；美观的
because	conj. 因为
become	v. 变得；成为
bed	n. 床
bedroom	n. 寝室；卧室
bee	n. 蜜蜂
beef	n. 牛肉
before	prep. 在......以前；在......前面；adv. 以前；conj. 在......之前
begin	v. 开始；着手
behaviour	n. 行为, 举止；特性, 性能, 特点, 行为, 动作, 状态
behind	prep. （表示位置）在......后面；adv. 在后面；向后
believe	v. 相信；认为
bell	n. 钟；铃；钟（铃）声；钟形物
below	prep. 在......下面
beside	prep. 在......旁边；靠近
besides	prep. 除......以外（还有）；adv. 还有；此外
between	prep. 在...之间；adv. 在中间
beyond	prep. 超过；越过；那一边；n. 远处；adv. 在远处；在更远处
bicycle	n. 自行车
big	adj. 大的
bike	n. 自行车
bill	n.账单；法案；议案；（美）钞票；纸币
bird	n. 鸟
birth	n. 出生；诞生
birthday	n. 生日
biscuit	n. 小点心；饼干
bit	n. 一点；一些；少量的
bitter	a. 苦的, 痛苦的, 怀恨的；adv. 刺骨
black	n. 黑色；adj. 黑色的
blackboard	n. 黑板
blind	adj. 瞎的
blood	n. 血；血液；血统；v. 从...抽血；使先取得经验
blow	v. 吹；刮风；吹气；n. 击；打击
board	n. 木板；布告牌；（政府的）部；v. 上（船、火车、飞机）
boat	n. 小船；小舟
body	n. 身体
book	n. 书；本子；v. 预定；定（房间、车票等）
boring	adj. 乏味的；无聊的
born	adj. 出生的
borrow	v.（向别人）借用；借
boss	n. 老板；首领；工头；v. 指挥；调遣；当...的领导
both	adj. 两；双；pron. 两者；双方
bottle	n. 瓶子
bottom	n. 底部；底
bowl	n. 碗
box	n. 盒子；箱子
boy	n. 男孩
brain	n. 脑（子）
brave	n. 勇士；adj. 勇敢的；华丽的；v. 勇敢地面对
bread	n. 面包
break	n. 间隙；中断；暂停；v. 打破（断；碎）
breakfast	n. 早餐
breath	n. 呼吸；气息；一口气
breathe	v. 呼吸
bridge	n. 桥
bright	adj. 明亮的；聪明的
bring	v. 拿来；带来；取来
brother	n. 兄；弟
brown	n. 褐色；棕色；adj. 褐色的；棕色的
brush	v. 刷；擦；n. 刷子
build	v. 建筑；造
building	n. 建筑物；房屋；大楼
burn	v. 燃烧；着火；使烧焦；使晒黑；n. 烧伤；晒伤
bus	n. 公共汽车
business	n.（本分）工作；职业；职责；生意；交易；事业
busy	adj. 忙（碌）的
but	conj. 但是；可是；prep. 除了； 除............外
butter	n. 黄油；奶油
butterfly	n. 蝴蝶
buy	v. 买
by	prep. 在......旁；不迟于；被；用；乘（车）
bye	interj. 再会, 回头见；结束命令
cabbage	n. 卷心菜；洋白菜
cake	n. 蛋糕；糕点；饼
call	n. 喊；叫；电话；通话；v. 称呼；呼唤；喊；叫
camel	n. 骆驼
camera	n. 照相机；摄像机
camp	n.（夏令）营；v. 野营；宿营
can	modal v. 能；会；可以
Canada	n. 加拿大
cancel	v. 取消；撤销；删去；n. 取消；撤销
cancer	n. 癌, 恶性肿瘤；癌
candle	n. 蜡烛
candy	n. 糖果
cap	n. 帽子；（瓶子的）盖
capital	n.首都；省会；大写；资本
captain	n.（海军）上校；船长；舰长；队长
car	n. 汽车；小卧车
card	n.卡片；名片；纸牌
care	n. 照料；保护；小心；v. 介意......；在乎；关心
careful	adj. 小心；仔细；谨慎的
careless	adj. 粗心的；漫不经心的
carry	v. 拿；搬；带；提；抬；背；抱；运等
cat	n. 猫
catch	v. 接住；捉住；赶上；染上（疾病）
cause	n. 原因；起因；v. 促使；引起；使发生
CD	n. 镭射碟, 镭射唱片；光盘, 压缩盘, 载波检测, DOS内部命令:显示或改变当前目录
CD-ROM	n. 光盘驱动器
ceiling	n. 天花板；顶棚
celebrate	v. 庆祝
cent	n. 美分（100 cents = 1 dollar）
centre	n. 中心, 中心点, 中锋；a. 中央的, 位在正中的
century	n. 世纪；百年
certain	adj. （未指明真实名称的）某......；确定的；无疑的；一定会......
chair	n. 椅子
chairman	n. 主席, 会长；主席
chalk	n. 粉笔
chance	n. 机会；可能性
change	n. 零钱；找头；v. 改变；变化；更换；兑换
chant	n. 圣歌, 赞美诗；v. 吟唱, 诵扬
cheap	adj. 便宜的；贱
cheat	n. 欺骗；作弊；骗子；v. 欺骗；骗取；作弊
check	n. 检查；批改；v. 校对；核对；检查；批改
cheer	n. 欢呼；愉快；心情；v. 欢呼；使高兴；为...加油
cheese	n. 奶酪
chemistry	n. 化学
chess	n. 国际象棋；棋
chest	n. 胸, 胸部, 衣柜, 箱子；胸, 胸廓
chicken	n. 鸡；鸡肉
child	n. 孩子；儿童
China	n. 中国, 瓷器；a. 中国的
Chinese	n. 中文, 中国话, 中国人；a. 中国的, 中国话的
chocolate	n. 巧克力
choice	n. 选择；选择权；精选品；adj. 精选的；仔细推敲的
choose	v. 选择
chopsticks	n. 筷子
Christmas	n. 圣诞节
church	n. 教堂, 礼拜, 教会；vt. 使人接受宗教仪式
cinema	n. 电影院；电影
circle	n./v. 圆；环绕
city	n. 市；城市；都市
clap	n. 拍手, 拍手声, 霹雳声, 花柳病；v. 鼓掌, (使)啪地关上
class	n.（学校的）班；年级；课
classmate	n. 同班同学
classroom	n. 教室
clean	v. 弄干净；擦干净；adj. 清洁的；干净的
clear	adj. 清晰；明亮的；清楚的
clever	adj. 聪明的；伶俐的
climb	v. 爬；攀登
clock	n. 钟
clone	n. 无性系；代用件
close	adj. 亲密的；近；靠近；adv. 近；靠近；v. 关；关闭
clothes	n. 衣服；各种衣物
cloud	n. 云；云状物；阴影
cloudy	adj. 多云的；阴天的
club	n. 俱乐部；纸牌中的梅花
coach	n. 教练；旅客车厢；长途公车；v. 训练；指导；作指导
coal	n. 煤；煤块
coast	n. 海岸；滑坡；v. 沿...岸航行；滑行；沿岸航行
coat	n. 外套；涂层；表皮；皮毛
coffee	n. 咖啡
coin	n. 硬币
coke	n. 可口可乐, 焦炭；v. (使)成焦炭
cold	adj. 冷的；寒的；n. 寒冷；感冒；伤风
collect	v. 收集；搜集
college	n. 学院；专科学校
colour	n. 颜色, 面色, 颜料, 外貌；vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
come	v. 来；来到
comfortable	adj. 舒服的；安逸的；舒服自在的
common	adj. 普通；一般；共有的
communicate	v. 交流；沟通
communication	n. 交流；沟通
company	n. 公司
compare	v. 相比；匹敌；比较；n. 比较
competition	n. 比赛；竞赛
complete	adj. 完整的；完全的；彻底的；v. 完成
composition	n. 作文, 创作, 组成；成分; 组成
computer	n. 电子计算机
concert	n. 音乐会；演奏会
condition	n. 条件；情况；环境；v. 决定；使适应；使健康
conference	n. 会议；会议, 讨论会, 协商会
connect	v. 连接；把......联系起来
consider	v. 考虑；认为；细想
continue	v. 继续
control	n. 控制；管理；抑制；v. 控制；管理；抑制
conversation	n. 谈话；交谈
cook	n. 炊事员；厨师；v. 烹调；做饭
cooker	n. 炊具；烹饪用水果；窜改者
cool	adj. 凉的；凉爽的；酷
copy	n. 抄本；副本；一本（份；册......）；v. 抄写；复印；拷贝
corner	n. 角；角落；拐角
correct	v. 改正；纠正；adj. 正确的；对的；恰当的
cost	v.值（钱）；花费；n. 价格
cotton	n. 棉花；vi. 和谐, 有好感, 理解
cough	n./v. 咳嗽
could	modal v. 能；可以；可能
count	v. 数；点数
country	n. 国家；农村；乡下
countryside	n. 乡下；农村
couple	n. 夫妇；一对
courage	n. 勇气；胆量
course	n. 过程；经过；课程
cousin	n. 堂（表）兄弟；堂（表）姐妹
cover	n. 盖子；罩；v. 覆盖；遮盖；掩盖
cow	n. 母牛；奶牛
crayon	n. 蜡笔；有色粉笔；v. 以蜡笔作画；用颜色粉笔画
crazy	adj. 疯狂的；狂热的；着迷的
create	v. 创造；创作；造成
cross	adj. 脾气不好的；易怒的；n. 十字形的东西；v. 越过；穿过
cruel	adj. 残酷的；残忍的；使人痛苦的
cry	n. 叫喊；哭声；v. 喊叫；哭
culture	n. 文化
cup	n. 茶杯
cut	v. 切；剪；削；割
dad	n. 爸爸, 爹爹
daily	adj. 每日的；日常的；adv. 每天；n. 日报
dance	n./v. 跳舞
danger	n. 危险；危险物；威胁
dangerous	adj. 危险的
dare	v./aux. 敢；敢于
dark	n. 黑暗；暗处；日暮；adj. 黑暗的；暗淡的；深色的
date	n. 日期；约会；n.枣
daughter	n. 女儿
day	n.（一）天；（一）日；白天
dead	adj. 死的；无生命的
deaf	adj. 聋的
deal	n. 量；数额；交易
dear	interj.（表示惊愕）哎呀!唷!adj. 亲爱的；贵的
death	n. 死
December	n. 十二月
decide	v. 决定；下决心
decision	n. 决定
deep	adj. 深；adv. 深；深厚
degree	n. 程度；等级；度
delicious	adj. 美味的；可口的
dentist	n. 牙科医生
depend	v. 依靠；依赖；指望；取决于
describe	v. 描写；叙述
desk	n. 书桌；写字台
develop	v.（使）发展；开发；v. 冲洗（照片）
development	n. 发展；开发；发育
dialogue	n. 对话
diary	n. 日记；日记簿
dictionary	n. 词典；字典
die	v. 死
difference	n. 不同
different	adj. 不同的；有差异的
difficult	adj. 难；艰难；不易相处的
difficulty	n. 困难；费力
dig	v. 挖（洞沟）；掘
dinner	n. 正餐；宴会
direct	adj. 直接的；直截了当的；v. 指挥；指导；导演（电影）
direction	n. 方向；方位
director	n. 所长；处长；主任；董事；导演
dirty	adj. 脏的
discover	v. 发现
discovery	n. 发现
discuss	v. 讨论；议论
discussion	n. 讨论
disease	n. 病；疾病
dish	n. 盘；碟；盘装菜；盘形物
dismiss	vt. 解散, 开除, 解职；vi. 解散
disturb	vt. 扰乱, 妨碍, 使不安；滋扰, 扰乱
divide	v. 分；划分
do	v./aux. 做；干
doctor	n. 医生；大夫；博士
dog	n. 狗
doll	n. 玩偶；玩具娃娃
dollar	n. 元（美国、加拿大、澳大利亚等国货币单位）
door	n. 门
double	adj. 两倍.双的；n. 两个.双
doubt	n. 怀疑；疑问；疑惑；v. 怀疑；不信；恐怕
down	prep. 沿着；沿......而下；adv. 向下
downstairs	n. 楼下；a. 楼下的
dozen	n. 打, 十二个；a. 一打的
draw	v. 绘画；绘制；拉；拖；提取（金钱）
drawer	n. 抽屉, 开票人；抽屉
dream	n./v. 梦；梦想
dress	n. 女服；连衣裙；（统指）服装；童装；v. 穿衣
drink	n. 饮料；喝酒
drive	n. 驱动器；驾车；内驱力；v. 开车；猛击；飞跑
driver	n. 驾驶员；驱动程序；起子
drop	n.滴；v.掉下；落下；投递；放弃
drug	n. 药, 麻药, 麻醉药；vi. 吸毒
drum	n. 鼓；鼓声；v. 击鼓；大力争取
dry	v. 使......干；弄干；擦干；adj. 干的；干燥的
duck	n. 鸭子
dumpling	n. 饺子
during	prep. 在......期间；在......过程中
duty	n. 责任；义务
dvd	abbr. 数字化视频光盘（Digital Video Disk）
each	adj./pron. 每人；每个；每件
ear	n.耳朵.耳状物；听力；听觉
early	adj. 早的；adv. 早地
earth	n. 地球；土；泥；大地
east	adj. 东方；东部的；adv. 在东方；向东方；n. 东；东方
easy	adj. 容易的；不费力的
eat	v. 吃
edge	n. 边缘, 尖锐, 刀刃, 优势；vt. 使锐利, 挤进, 镶边
education	n. 教育；培养
effort	n. 努力；成就
egg	n. 蛋；卵
eight	num. 八
eighteen	num. 十八
eighth	num. 第八
eighty	num. 八十
either	adj. 两方任一方的；二者之一；conj. 二者之一；要么；adv. 也
elder	n. 长者；前辈
electric	a. 电的, 导电的, 电动的；电的
elephant	n. 象
eleven	num. 十一
else	adv. 别的；其他的
email	n. 电子邮件
empty	adj. 空的
encourage	v. 鼓励
end	n. 末尾；终点；结束；v. 结束；终止
enemy	n. 敌人；敌军
energy	n. 能量；精力；活力
engineer	n. 工程师；技师
England	n. 英格兰；英格兰, 英国
English	n. 英语；a. 英文的, 英国人的
enjoy	v. 欣赏；享受乐趣；喜欢
enough	n. 足够；充足；adj. 足够；充分的；adv. 足够地；充分地
enter	v. 进入
environment	n.环境
eraser	n. 橡皮擦；黑板擦
especially	adv. 特别；尤其
Europe	n. 欧洲
European	n. 欧洲人；a. 欧洲的, 欧洲人的
even	adv. 甚至；连（......都）；更
evening	n. 傍晚；晚上
ever	adv. 曾经；无论何时
every	adj. 每一；每个的
everybody	pron. 每人；人人
everyday	adj. 每日的；日常的
everyone	pron. 每人；人人
everything	pron. 每件事；事事
everywhere	adv. 到处
exam	n. 考试；测试；检查；审查
examination	n. 考试, 测验, 审查；检查, 诊察
examine	v. 检查；诊察
example	n. 例子；榜样
excellent	adj. 极好的；优秀的
except	prep. 除......之外
excite	vt. 刺激, 使兴奋, 激励
excuse	n. 借口；辩解；v. 原谅；宽恕
exercise	n. 锻炼；做操；练习；习题；v. 锻炼
expect	v. 预料；盼望；认为
expensive	adj. 昂贵的
experience	n. 经历；经验；v. 经历
experiment	n. 实验
explain	v. 解释；说明
express	v. 表达；表示；表情；n. 快车；特快专递
eye	n. 眼睛
face	n. 脸；v. 面向；面对
fact	n. 事实；现实
factory	n. 工厂
fail	v. 失败；不及格；衰退
fair	n. 展览会；市集；美人；adj. 公平的；美丽的；白皙的；v. 转晴
fall	n. 下降；秋天；瀑布；adj. 秋天的；v. 落下；变成；来临
family	n. 家庭；家族；子女
famous	adj. 著名的
fan	n.（电影、运动等的）迷；热心的爱好者（支持者）；n. 风扇
fantastic	n. 古怪的人；adj. 奇异的；空想的；异想天开的
far	adj./adv. 远的；远地
farm	n. 农场；农庄
farmer	n. 农民
fast	adj. 快的；迅速的；紧密的；adv. 快地；迅速地；紧密地
fat	n. 脂肪；adj. 胖的；肥的
father	n. 父亲
favourite	n. 喜欢的事物；a. 喜爱的, 宠爱的
fear	n. 害怕；恐惧； 担忧
February	n. 二月
feed	v. 喂（养）；饲（养）
feel	v./link 感觉；觉得；摸；触
feeling	n. 感情；感觉
festival	n. 节日
fetch	n. 取得, 拿, 诡计, 魂；vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
fever	n. 发烧；发热
few	pron. 不多；少数；不多的；少数的
field	n. 田地；牧场；场地
fifteen	num. 十五
fifth	num. 第五
fifty	num. 五十
fight	v. 战斗；打架；n. 战斗；争吵
fill	v. 填空；装满
film	n. 电影；影片；胶卷
final	adj. 最后的；终极的
find	v. 找到；发现；认为
fine	adj. 晴朗的；美好的；（身体）健康的
finger	n. 手指
finish	v. 结束；做完
fire	n. 火；火炉；火灾；v. 开火；射击；解雇
first	num. 第一；adj./adv. 第一；首次；最初；n. 开始；开端
fish	n. 鱼；鱼肉；v. 钓鱼；捕鱼
fisherman	n. 渔民；钓鱼健身者
fit	adj. 健康的；适合的；v.（使）适合；安装
five	num. 五
fix	v. 修理；安装；确定；决定
flag	n. 旗；标志；旗舰
flat	a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的；adv. 平直地, 断然地
floor	n. 地面；地板.（楼房的）层
flower	n. 花
flu	n. 流感
fly	v. 飞；飞行；飘动；v. 放（风筝、飞机模型等）n. 苍蝇
follow	v. 跟随；仿效；跟得上
food	n. 食物；食品
foot	n. 足；脚；英尺
football	n.（英式）足球；（美式）橄榄球
for	prep. 为了......；因为......；对于......；对......来说；conj. 因为；由于
force	n. 力量；武力；军队；v. 促使；推动；强迫
foreign	adj. 外国的
foreigner	n. 外国人, 外地人；外国人, 进口货, 外国货
forest	n. 森林
forget	v. 忘记；忘掉
fork	n. 叉；餐叉
form	n. 表格；形式；结构
forty	num. 四十
forward	n. 前锋；adj. 向前的；早的；迅速的；adv. 向前地；向将来
four	num. 四
fourteen	num. 十四
fourth	num. 第四
fox	n. 狐狸, 狡猾的人；vi. 奸狡地行动, (书页)生斑, 变酸
free	adj. 自由；空闲的；免费的
freeze	v. 结冰；使冻结
fresh	adj. 新鲜的
Friday	n. 星期五
fridge	n. 冰箱
friend	n. 朋友
friendly	adj. 友好的
friendship	n. 友谊；友情
frog	n. 青蛙；蛙, 马蹄叉
from	prep. 从；从......起；来自
front	adj. 前面的；前部的；n. 前面；前部；前线
fruit	n. 水果；果实
full	adj. 满的；充满的；完全的
fun	n. 有趣的事；娱乐；玩笑
funny	adj. 有趣的；滑稽可笑的
furniture	n. 家具；设备；储藏物
future	n. 将来、未来
game	n. 游戏；运动；比赛
garden	n. 花园；果园；菜园
gate	n. 大门
general	adj. 大体；笼统的；总的
gentleman	n. 先生；绅士；有身份的人
geography	n. 地理学
gesture	n. 姿态；手势；v. 用动作表示；作手势；用动作示意
get	v. 成为；得到；具有；到达
gift	n. 赠品；礼物
giraffe	n. 长颈鹿
girl	n. 女孩
give	v. 给；递给；付出；给予
glad	adj. 高兴的；乐意的
glass	n. 玻璃杯；玻璃；（复）眼镜
glove	n. 手套
go	v. 去；走；驶；通到；到达；n. 尝试（做某事）
goat	n. 山羊, 替罪羊, 色鬼
God	n. 上帝, 神像, 偶像；vt. 使神化
gold	n. 黄金 a 金的；黄金的
golden	a. 金的, 含金的, 金色的, 贵重的, 繁盛的；金制的, 金色的, 兴隆的
good	adj. 好；良好
goodbye	interj. 再见
goose	n. 鹅, 雌鹅, 鹅肉, 弯把熨斗；vt. 与...性交, 突然加大油门, 使生色, 喝倒彩
government	n. 政府
grade	n. 等级（中小学的）；学年；成绩；分数
grammar	n. 语法
grandchild	n. （外）孙或孙女；孙辈
granddaughter	n.（外）孙女
grandfather	n. 祖父；始祖；v. 不受新规定限制
grandma	n. 奶奶, 外婆
grandmother	n. 祖母；女祖先；v. 当...的祖母；当祖母
grandpa	爷爷, 老太爷, 外公
grandparent	n. 祖父母；祖父或祖母；外祖父母
grandson	n.（外）孙子
granny	n. 奶奶, 老奶奶, 老婆婆, 外婆, 婆婆妈妈的人, 唠叨挑剔的人, 接生婆
grape	n. 葡萄
grass	n. 草；草场；牧草
great	adj. 伟大的；重要的；好极了；adv.（口语）好极了；很好
green	adj. 绿色的；青的；n. 绿色
greeting	n. 祝贺, 问候
ground	n. 地面；土地；范围；v. 研磨；压迫；使接触地面；adj. 土地的；地面上的；磨碎的
group	n. 组；群
grow	v. 生长；发育；种植；变成
guard	n. 守卫；警戒；护卫队；v. 警惕；保卫；监视
guess	v. 猜
guest	n. 客人；宾客
guitar	n. 吉他；六弦琴
gun	n.炮；枪
gym	n. +体育馆, 体育训练, 体育课, 体操
gymnasium	n. 健身房, 体育馆；体育馆, 健身室, 运动场
habit	n. 习惯；习性
hair	n. 头发
half	adj./n. 半；一半；半个
hall	n. 大厅；会堂；礼堂；过道
ham	n. 火腿
hamburger	n. 汉堡包
hand	n. 手；指针；v. 递；给；交付；交上
handbag	n. 女用皮包；手提包
handsome	adj. （男子）英俊的；可观的；大方的
handwriting	n. 笔迹
hang	v. 悬挂；吊着；把......吊起 hang （hung； hung） 绞死
happen	v.（偶然）发生；碰巧
happy	adj. 幸福；快乐的；高兴的
hard	adv. 努力地；猛烈地；adj. 硬的；困难的；艰难的
hardly	adv. 几乎不
hat	n. 帽子（一般指有边的）；礼帽
hate	v./n. 恨；讨厌
have	v. 有；吃；喝；进行；经受
he	pron. 他
head	n. 头；头脑；首脑；标题；adj. 头部的；主要的；v. 率领；驶向
headache	n. 头疼
health	n. 健康；卫生
healthy	adj. 健康的；健壮的
hear	v. 听见；听说
heart	n. 心；心脏；纸牌中的红桃
heat	n. 热；v. 把......加热
heaven	n. 天堂, 上帝, 天空
heavy	adj. 重的
height	n. 高地；高度；身高
hello	interj. 喂；你好（表示打招呼；问候或唤起注意）
help	n./v. 帮助；帮忙
helpful	adj. 有帮助的；有益的
hen	n. 母鸡
her	pron. 她（宾格）；她的
here	adv. 这里；在这里；向这里
hero	n. 英雄；勇士；男主角
hers	pron. 她的
herself	pron. 她自己
hide	v. 把......藏起来；隐藏
high	adj. 高的；高度的；adv. 高地
hill	n. 小山；丘陵；土堆；斜坡
him	pron. 他（宾格）
himself	pron. 他自己
his	pron. 他的
history	n. 历史；历史学
hit	n./v. 打；撞；击中
hobby	n. 业余爱好；嗜好
hold	v. 拿；抱；握住；举行；进行
hole	n. 洞；坑
holiday	n. 假日；假期
home	n. 家；adv. 到家；回家
hometown	n. 故乡
homework	n. 家庭作业
honest	adj. 诚实的；正直的
honour	n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章；vt. 尊敬, 授予荣誉, 承兑, 实践
hope	n./v. 希望
horse	n. 马
hospital	n. 医院
hot	adj. 热的
hotdog	v. 卖弄
hotel	n. 旅馆；饭店；宾馆
hour	n. 小时
house	n. 房子；住宅
housework	n. 家务劳动
how	adv. 怎样；如何；多么
however	adv. 可是；conj. 然而；可是；尽管如此
huge	adj. 巨大的；庞大的
human	adj. 人的；人类的
humorous	adj. 诙谐的；幽默的；滑稽的
hundred	num. 百
hungry	adj.（饥）饿的
hurry	v. 赶快；急忙
hurt	v. 伤害；受伤；伤人感情
husband	n. 丈夫
I	pron. 我
ice	n. 冰
ice cream	冰淇淋；冰淇淋
idea	n. 主意；意见；打算；想法
if	conj. 如果；假使；是否；是不是
ill	adj. 有病的；不健康的
illness	n. 疾病
imagine	v. 想像；设想
immediately	adv. 立即
important	adj. 重要的
impossible	adj. 不可能的
improve	v. 改进；更新
in	prep. 在......里（内）；在；adv. 在家；在内；向内
inch	n. 英寸
include	v. 包含；包括
increase	v./n. 增加；繁殖
India	n. 印度
Indian	n. 印度人, 印第安人, 印第安语；a. 印度的, 印度群岛的, 印第安语的
industry	n. 产业；工业；勤勉
influence	n. 影响；势力；感化；v. 影响；改变
information	n. 信息
ink	n. 墨水, 墨汁；vt. 涂墨水于, 签署, 加墨水
inside	prep. 在......里面；adv. 在里面
insist	v. 坚持；坚决认为
instead	adv. 代替；反而；相反
instruction	n. 说明；须知；教导
intention	n. 意图, 目的, 含义；愈合, 意向
interest	n. 兴趣；趣味；利息
interesting	adj. 有趣的
international	adj. 国际的
internet	因特网, 国际互连网, 网际网络, 互连网络, 广域网
interview	n. 接见；采访；面试；v. 采访；接见；对...进行面谈
into	prep. 到......里；向内；变成
introduce	v. 介绍
introduction	n. 介绍；引进；采用
invent	v. 发明；创造
invention	n. 发明；创造
invite	v. 邀请；招待
iron	n. 熨斗；烙铁；坚强；adj. 铁的；残酷的；刚强的；v. 熨；用铁铸成；熨衣
island	n. 岛
it	pron. 它；信息论, 输入终端, 智能终端, 内捕获
its	pron. 它的
itself	pron. 它自己
jacket	n. 短上衣；夹克衫
January	n. 一月
Japan	n. 日本；天然漆; 大漆; 漆器
Japanese	n. 日本人, 日语；a. 日本的, 日语的
jeans	n. 牛仔裤；工装裤
job	n. （一份）工作
join	v. 参加；加入；连接；会合
joke	n. 笑话
joy	n. 欢乐；高兴；乐趣
juice	n. 汁、液
July	n. 七月
jump	n. 跳跃；跳变；v. 跳跃；惊起；猛扑
June	n. 六月
just	adv. 刚才；恰好；不过；仅；adj. 公正的
keep	v. 保持；保存；继续不断；v. 培育；饲养
key	n. 钥匙；答案；键；关键
keyboard	n. 键盘
kick	v./n. 踢
kid	n. 小孩
kill	v. 杀死；弄死
kilo	n. 千克；千米
kilogram	n. 千克, 公斤；千克, 公斤
kilometre	n. 公里, 千米
kind	n. 种；类；adj. 善良；友好的
king	n. 国王
kiss	n./v. 吻；亲吻
kitchen	n. 厨房
kite	n. 风筝
knee	n. 膝盖
knife	n. 小刀；匕首；刀片
knock	n./v. 敲；打；击
know	v. 知道；了解；认识；懂得
knowledge	n. 知识；学问
lab	n. 实验室
laboratory	n. 实验室, 研究室, 化工厂；实验室, 检验室, 化验室
labour	n. 劳动, 努力, 工作, 劳工, 分娩；vi. 劳动, 努力, 苦干
lady	n. 女士；夫人
lake	n. 湖
lamb	n. 小羊, 羔羊；v. 产羊羔
lamp	n. 灯；油灯；光源
land	n. 陆地；土地；v. 登岸（陆）降落
language	n. 语言
large	adj. 大的；巨大的
